LED3_2,,LED3_3,,LED3_4,,LED3_5,,LED3_6,,LED3_7,,LED3_8,,LED3_9,,LED3_10,,LED3_11,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
285.9299927,0.1017345712,285.9299927,22.73767853,285.9299927,51.68116379,285.9299927,145.4295807,285.9299927,1000,285.9299927,1000,285.9299927,68.41649628,285.9299927,86.37265015,285.9299927,116.6386871,285.9299927,145.3278351,
287.0299988,0.1017345712,287.0299988,18.71916008,287.0299988,40.18515778,287.0299988,109.924202,287.0299988,1000,287.0299988,1000,287.0299988,53.41065216,287.0299988,65.77140045,287.0299988,90.03509521,287.0299988,113.5357819,
287.9599915,0.1526018679,287.9599915,13.98850441,287.9599915,31.79205513,287.9599915,86.72872162,287.9599915,1000,287.9599915,1000,287.9599915,42.52505493,287.9599915,49.79907227,287.9599915,69.48471069,287.9599915,86.67785645,
289.0599976,0.1526018679,289.0599976,10.83473206,289.0599976,24.51803207,289.0599976,68.0604248,289.0599976,1000,289.0599976,1000,289.0599976,32.50419617,289.0599976,38.30306625,289.0599976,54.52973175,289.0599976,68.82344055,
290,0.1526018679,290,8.749173164,290,18.87176323,290,54.17366028,290,1000,290,1000,290,26.04405022,290,32.65679932,290,44.81407928,290,56.86962509,
291.0700073,0,291.0700073,7.019685745,291.0700073,15.56538963,291.0700073,43.33892822,291.0700073,1000,291.0700073,795.2591553,291.0700073,20.80471992,291.0700073,25.02670479,291.0700073,33.21633911,291.0700073,45.27188492,
292,0.1017345712,292,5.493667126,292,13.93763638,292,35.25102997,292,1000,292,660.4608154,292,17.65094948,292,21.46599388,292,28.07874298,292,36.82791519,
293.0700073,0.1526018679,293.0700073,4.42545414,293.0700073,9.766519547,293.0700073,27.41746712,293.0700073,1000,293.0700073,514.522583,293.0700073,13.83590221,293.0700073,16.12492943,293.0700073,22.5342083,293.0700073,27.82440567,
294,0.05086728558,294,3.815046549,294,8.087898254,294,22.27987099,294,1000,294,416.0435486,294,12.20814896,294,13.1746273,294,17.65094948,294,23.19548225,
295.0700073,0,295.0700073,3.153771877,295.0700073,7.121419907,295.0700073,18.56656075,295.0700073,1000,295.0700073,330.8408203,295.0700073,8.850908279,295.0700073,10.4277935,295.0700073,14.70064545,295.0700073,17.80355072,
296,0.1017345712,296,2.645098925,296,5.239330769,296,15.15845108,296,849.6362915,296,273.3607788,296,7.121419907,296,9.35958004,296,12.51335239,296,15.107584,
297.0700073,0.05086728558,297.0700073,2.136425972,297.0700073,4.527188301,297.0700073,11.75034332,297.0700073,690.1164551,297.0700073,219.4923401,297.0700073,6.511012554,297.0700073,7.121419907,297.0700073,9.613917351,297.0700073,12.46248531,
298,0.1017345712,298,1.882089615,298,3.560709953,298,10.12259007,298,570.9343872,298,183.5800476,298,4.67979002,298,5.544534206,298,8.494836807,298,10.07172298,
299.0700073,0.1526018679,299.0700073,1.576885939,299.0700073,3.00116992,299.0700073,7.833561897,299.0700073,456.6356201,299.0700073,144.1578827,299.0700073,3.815046549,299.0700073,5.188463211,299.0700073,7.070552826,299.0700073,8.800041199,
300,0.1017345712,300,1.220814943,300,2.594231606,300,6.511012554,300,386.0827026,300,121.9288864,300,3.815046549,300,3.76417923,300,5.849738121,300,6.154942036,
300.9299927,0.05086728558,300.9299927,1.068212986,300.9299927,2.034691334,300.9299927,5.697136402,300.9299927,323.5159607,300.9299927,103.9218674,300.9299927,2.848568201,300.9299927,3.255506277,300.9299927,5.08672905,300.9299927,5.849738121,
302.0299988,0.1017345712,302.0299988,0.8647438884,302.0299988,2.136425972,302.0299988,4.527188301,302.0299988,270.5122375,302.0299988,84.89750671,302.0299988,2.33989501,302.0299988,3.00116992,302.0299988,3.357240915,302.0299988,5.08672905,
302.9599915,0.05086728558,302.9599915,0.8647438884,302.9599915,1.729487777,302.9599915,4.069382668,302.9599915,236.8889618,302.9599915,72.74021912,302.9599915,2.034691334,302.9599915,2.33989501,302.9599915,3.357240915,302.9599915,4.221984863,
304.0599976,0.1017345712,304.0599976,0.7630093098,304.0599976,1.424284101,304.0599976,3.408108234,304.0599976,193.8552246,304.0599976,60.07426453,304.0599976,1.678620458,304.0599976,1.780354977,304.0599976,2.950302601,304.0599976,3.86591363,
